MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,1951452,3,0,3,1,N,0,50354896,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1951452,4,0,4,1,N,0,50354896,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,1951452,5,0,5,1,N,0,50354896,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1951452,6,0,6,1,N,0,50354896,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,1951452,7,0,7,1,N,0,50354896,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1951452,8,0,8,1,N,0,50354896,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,1951452,9,0,9,1,N,0,50354896,9,90,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1951452,10,0,10,1,N,0,50354896,10,100,US01,10005778,,US02,MMQA001,QUALITY,,,
1,1951452,11,0,13,1,N,0,50354896,13,110,US01,10005776,,US02,MMIP001,PAINTING,,,
1,1951452,12,0,14,1,N,0,50354896,14,120,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,1951452,13,0,15,1,N,0,50354896,15,130,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,1960635,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,1962942,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,1962943,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,1969268,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,1969859,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,1973150,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2006902,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2006903,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2006904,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2006905,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2006906,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2006907,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2010490,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2010492,1,,0,,N,0,,0,10,US00,0,,US02,,Atomatic operation,,,
1,2034760,1,0,1,1,N,0,50354897,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2034760,2,0,2,1,N,0,50354897,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034760,3,0,3,1,N,0,50354897,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034760,4,0,4,1,N,0,50354897,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034760,5,0,5,1,N,0,50354897,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034760,6,0,6,1,N,0,50354897,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034760,7,0,7,1,N,0,50354897,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034760,8,0,8,1,N,0,50354897,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034760,9,0,9,1,N,0,50354897,9,90,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034760,10,0,10,1,N,0,50354897,10,100,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034760,11,0,11,1,N,0,50354897,11,110,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2034760,12,0,12,1,N,0,50354897,12,120,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034760,13,0,13,1,N,0,50354897,13,130,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2034761,1,0,1,1,N,0,50354897,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2034761,2,0,2,1,N,0,50354897,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2034761,3,0,3,1,N,0,50354897,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2034761,4,0,4,1,N,0,50354897,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
