MANDT,AUFPL,APLZL,PLNFL,PLNKN,PLNAL,PLNTY,VINTV,PLNNR,ZAEHL,VORNR,STEUS,ARBID,PDEST,WERKS,KTSCH,LTXA1,LTXA2,TXTSP,VPLTY
1,2067527,4,0,4,1,N,0,50338688,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067527,5,0,5,1,N,0,50338688,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067527,6,0,6,1,N,0,50338688,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067527,7,0,7,1,N,0,50338688,7,70,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067527,8,0,8,1,N,0,50338688,8,80,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067527,9,0,9,1,N,0,50338688,9,130,US01,10005776,,US02,MMIP001,PAINTING,,,
1,2067527,10,0,10,1,N,0,50338688,10,140,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067527,11,0,11,1,N,0,50338688,11,150,US01,10005778,,US02,MMQA001,QUALITY,,EN,
1,2067527,12,0,12,1,N,0,50338688,12,90,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067527,13,0,13,1,N,0,50338688,13,100,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067527,14,0,14,1,N,0,50338688,14,110,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067527,15,0,15,1,N,0,50338688,15,120,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067528,1,0,1,1,N,0,50338688,1,10,US01,10005775,,US02,MMIA001,ASSEMBLY,,EN,
1,2067528,2,0,2,1,N,0,50338688,2,20,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067528,3,0,3,1,N,0,50338688,3,30,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067528,4,0,4,1,N,0,50338688,4,40,US01,10005778,,US02,MMQA001,QUALITY,,,
1,2067528,5,0,5,1,N,0,50338688,5,50,US01,10005775,,US02,MMIA001,ASSEMBLY,,,
1,2067528,6,0,6,1,N,0,50338688,6,60,US01,10005778,,US02,MMQA001,QUALITY,,,
