week,state,brandcorp,revenue
2020-11-02,FL,CAZADORES,28520
2020-11-02,SC,ESPOLON,21276
2020-11-02,MO,DON JULIO,37933
2020-11-02,MD,LUNAZUL,9743
2020-11-02,HI,LUNAZUL,1354
2020-11-02,WA,ESPOLON,35890
2020-11-02,NM,ESPOLON,2593
2020-11-02,IN,ESPOLON,14511
2020-11-02,CA-N,CASAMIGOS,107447
2020-11-02,LA,ESPOLON,41436
2020-11-02,NV,ESPOLON,21556
2020-11-02,LA,LUNAZUL,11610
2020-11-02,SD,ESPOLON,530
2020-11-02,CO,ESPOLON,107795
2020-11-02,ND,CAZADORES,614
2020-11-02,CA-S,ESPOLON,44499
2020-11-02,DC,ESPOLON,15380
2020-11-02,ND,LUNAZUL,237
2020-11-02,NY-M,ESPOLON,158356
2020-11-02,MD,CAZADORES,5433
2020-11-02,HI,ESPOLON,6477
2020-11-02,KY,CAZADORES,4791
2020-11-02,CA-S,CASAMIGOS,501845
2020-11-02,FL,ESPOLON,96726
2020-11-02,TX,ESPOLON,253268
2020-11-02,CA-N,DON JULIO,172133
2020-11-02,AZ,ESPOLON,24431
2020-11-02,KS,ESPOLON,-2204
2020-11-02,CO,CAZADORES,14961
2020-11-02,IL,CAZADORES,22733
2020-11-02,NM,CAZADORES,4945
2020-11-02,KY,CASAMIGOS,16021
2020-11-02,MO,LUNAZUL,15970
2020-11-02,TX,DON JULIO,1046425
2020-11-02,NE,DON JULIO,21761
2020-11-02,WA,CASAMIGOS,14031
2020-11-02,CA-N,LUNAZUL,7699
2020-11-02,FL,DON JULIO,499367
2020-11-02,DC,CAZADORES,50
2020-11-02,NY-U,CASAMIGOS,92604
2020-11-02,HI,DON JULIO,11199
2020-11-09,AZ,CAZADORES,7403
2020-11-09,FL,LUNAZUL,27935
2020-11-09,TX,LUNAZUL,71940
2020-11-09,SD,CASAMIGOS,2564
2020-11-09,CO,LUNAZUL,28662
2020-11-09,NE,CASAMIGOS,4719
2020-11-09,CA-S,CAZADORES,66057
2020-11-09,LA,DON JULIO,66276
2020-11-09,NE,DON JULIO,6777
2020-11-09,SC,ESPOLON,24792
2020-11-09,MO,CAZADORES,3683
2020-11-09,CA-S,CASAMIGOS,561831
2020-11-09,KS,ESPOLON,-760
2020-11-09,MO,ESPOLON,16736
2020-11-09,NY-M,CAZADORES,24246
2020-11-09,NM,ESPOLON,34497
2020-11-09,MN,CAZADORES,1240
2020-11-09,NV,CASAMIGOS,58172
2020-11-09,DC,CAZADORES,1110
2020-11-09,FL,CAZADORES,21433
2020-11-09,IN,CASAMIGOS,36714
2020-11-09,IL,CASAMIGOS,118778
2020-11-09,TX,DON JULIO,484617
2020-11-09,SD,ESPOLON,1363
2020-11-09,DC,ESPOLON,16737
2020-11-09,MD,CAZADORES,4604
2020-11-09,IL,LUNAZUL,7120
2020-11-09,KS,LUNAZUL,625
2020-11-09,WA,CASAMIGOS,19886
2020-11-09,DC,CASAMIGOS,46878
2020-11-09,ND,CASAMIGOS,2097
2020-11-09,SC,CASAMIGOS,51734
2020-11-09,TX,CAZADORES,50974
2020-11-09,IN,LUNAZUL,11973
2020-11-09,DE,CASAMIGOS,25807
2020-11-09,NV,DON JULIO,86102
2020-11-09,NY-U,LUNAZUL,15751
2020-11-09,MO,LUNAZUL,17526
2020-11-09,NY-U,ESPOLON,61459
2020-11-09,NV,LUNAZUL,2328
2020-11-09,WA,LUNAZUL,13211
2020-11-09,KS,CASAMIGOS,3269
2020-11-09,MN,LUNAZUL,2651
2020-11-09,MO,CASAMIGOS,18525
2020-11-09,NM,CASAMIGOS,9328
2020-11-09,CA-S,LUNAZUL,18877
2020-11-09,MO,DON JULIO,25513
2020-11-09,MD,ESPOLON,35030
2020-11-09,CA-N,CASAMIGOS,146982
2020-11-09,CA-S,DON JULIO,510717
2020-11-09,NE,LUNAZUL,2646
2020-11-09,WA,DON JULIO,41270
2020-11-09,IL,CAZADORES,21915
2020-11-09,LA,CAZADORES,3749
2020-11-09,DE,ESPOLON,10681
2020-11-09,HI,DON JULIO,12660
2020-11-09,WA,CAZADORES,6161
2020-11-09,SD,CAZADORES,109
2020-11-09,NV,ESPOLON,8574
2020-11-09,HI,CASAMIGOS,16972
2020-11-09,LA,ESPOLON,23839
2020-11-09,FL,CASAMIGOS,322484
2020-11-09,FL,DON JULIO,754866
2020-11-09,NM,CAZADORES,3046
2020-11-09,CA-S,ESPOLON,14009
2020-11-09,KY,LUNAZUL,3711
2020-11-09,DE,LUNAZUL,1419
2020-11-09,MN,ESPOLON,10778
2020-11-09,CA-N,DON JULIO,305463
2020-11-09,AR,ESPOLON,1525
2020-11-09,ND,LUNAZUL,161
2020-11-09,AZ,ESPOLON,19852
2020-11-09,CA-N,LUNAZUL,20881
2020-11-09,FL,ESPOLON,91750
2020-11-09,MD,LUNAZUL,10646
2020-11-09,NY-M,CASAMIGOS,1177662
2020-11-09,WA,ESPOLON,43280
2020-11-09,LA,LUNAZUL,7662
2020-11-09,NY-U,DON JULIO,40175
2020-11-09,KY,ESPOLON,15032
2020-11-09,CO,ESPOLON,108967
2020-11-09,HI,ESPOLON,6470
2020-11-09,MN,DON JULIO,3993
2020-11-09,NY-U,CAZADORES,805
2020-11-09,CA-N,CAZADORES,89544
2020-11-09,TX,ESPOLON,342371
2020-11-09,IN,ESPOLON,23095
2020-11-09,KY,CAZADORES,5197
2020-11-09,MD,CASAMIGOS,181411
2020-11-09,SC,CAZADORES,4113
2020-11-09,TX,CASAMIGOS,274416
2020-11-09,HI,LUNAZUL,1600
2020-11-09,AZ,CASAMIGOS,68863
2020-11-09,NE,ESPOLON,2288
2020-11-09,NY-U,CASAMIGOS,103240
2020-11-09,HI,CAZADORES,11107
2020-11-09,CA-N,ESPOLON,7364
2020-11-09,CO,CAZADORES,9931
2020-11-09,MN,CASAMIGOS,17441
2020-11-09,NY-M,ESPOLON,201111
2020-11-09,LA,CASAMIGOS,29372
2020-11-09,DE,CAZADORES,5012
2020-11-09,SD,LUNAZUL,18
2020-11-09,IN,DON JULIO,83897
2020-11-09,AR,CASAMIGOS,11122
2020-11-09,KY,DON JULIO,21406
2020-11-09,NY-M,DON JULIO,121851
2020-11-09,KY,CASAMIGOS,10045
2020-11-09,ND,ESPOLON,1244
2020-11-09,IL,ESPOLON,42372
2020-11-09,NY-M,LUNAZUL,23414
2020-11-09,AZ,LUNAZUL,7858
2020-11-09,CO,CASAMIGOS,151842
2020-11-09,NE,CAZADORES,1521
2020-11-09,IN,CAZADORES,5621
2020-11-09,NM,DON JULIO,15982
2020-11-09,DC,LUNAZUL,1863
2020-11-16,CO,CAZADORES,14398
2020-11-16,MN,LUNAZUL,3388
2020-11-16,IL,CAZADORES,49989
2020-11-16,MD,CAZADORES,6092
2020-11-16,MO,CASAMIGOS,16326
2020-11-16,NY-U,LUNAZUL,13590
2020-11-16,NE,CAZADORES,1377
2020-11-16,NV,CASAMIGOS,49857
2020-11-16,SD,ESPOLON,936
2020-11-16,NV,ESPOLON,14311
2020-11-16,KY,ESPOLON,10177
2020-11-16,CA-S,DON JULIO,441736
2020-11-16,ND,LUNAZUL,170
2020-11-16,NM,CASAMIGOS,17469
2020-11-16,TX,CAZADORES,46825
2020-11-16,KY,CASAMIGOS,12028
2020-11-16,FL,ESPOLON,103740
2020-11-16,NY-U,CASAMIGOS,111036
2020-11-16,MN,CAZADORES,318
2020-11-16,KY,DON JULIO,37420
2020-11-16,IN,LUNAZUL,8438
2020-11-16,MN,ESPOLON,11440
2020-11-16,FL,CAZADORES,29545
2020-11-16,NE,LUNAZUL,1694
2020-11-16,NY-U,DON JULIO,41625
2020-11-16,MO,LUNAZUL,18392
2020-11-16,SD,LUNAZUL,190
2020-11-16,CA-N,ESPOLON,10864
2020-11-16,IL,LUNAZUL,8159
2020-11-16,AZ,CAZADORES,36024
2020-11-16,LA,CASAMIGOS,30037
2020-11-16,TX,DON JULIO,1059058
2020-11-16,SC,ESPOLON,18954
2020-11-16,CA-S,CAZADORES,170594
2020-11-16,NM,ESPOLON,23469
2020-11-16,LA,DON JULIO,45677
2020-11-16,NY-M,DON JULIO,94861
2020-11-16,NE,DON JULIO,7313
2020-11-16,ND,ESPOLON,1682
2020-11-16,NY-M,CAZADORES,21673
2020-11-16,DE,CASAMIGOS,20025
2020-11-16,HI,CAZADORES,12994
2020-11-16,LA,LUNAZUL,17240
2020-11-16,CO,CASAMIGOS,81654
2020-11-16,IN,CAZADORES,10586
2020-11-16,MD,CASAMIGOS,115229
2020-11-16,DE,LUNAZUL,657
2020-11-16,MN,DON JULIO,3905
2020-11-16,AZ,CASAMIGOS,121459
2020-11-16,MD,ESPOLON,42189
2020-11-16,KY,LUNAZUL,2532
2020-11-16,NV,DON JULIO,16243
2020-11-16,NY-M,ESPOLON,219603
2020-11-16,KS,ESPOLON,5208
2020-11-16,FL,DON JULIO,358199
2020-11-16,TX,LUNAZUL,50287
2020-11-16,AZ,LUNAZUL,5814
2020-11-16,NE,ESPOLON,1855
2020-11-16,HI,CASAMIGOS,18252
2020-11-16,DC,CASAMIGOS,36872
2020-11-16,SC,CAZADORES,2922
2020-11-16,WA,CASAMIGOS,9401
2020-11-16,CA-S,LUNAZUL,29502
2020-11-16,LA,CAZADORES,1627
2020-11-16,NY-M,CASAMIGOS,1316288
2020-11-16,KS,CASAMIGOS,10149
2020-11-16,MN,CASAMIGOS,31984
2020-11-16,FL,LUNAZUL,25791
2020-11-16,WA,ESPOLON,10302
2020-11-16,AZ,ESPOLON,42246
2020-11-16,DE,CAZADORES,1956
2020-11-16,CA-S,ESPOLON,376726
2020-11-16,TX,CASAMIGOS,351450
2020-11-16,DC,ESPOLON,14348
2020-11-16,IN,ESPOLON,11838
2020-11-16,HI,LUNAZUL,755
2020-11-16,IL,CASAMIGOS,103291
2020-11-16,MO,ESPOLON,17166
2020-11-16,CA-N,LUNAZUL,25709
2020-11-16,SD,CASAMIGOS,2649
2020-11-16,KY,CAZADORES,4380
2020-11-16,WA,DON JULIO,43071
2020-11-16,KS,LUNAZUL,2778
2020-11-16,WA,LUNAZUL,29994
2020-11-16,MD,LUNAZUL,9054
2020-11-16,IN,DON JULIO,86190
2020-11-16,SC,CASAMIGOS,71129
2020-11-16,ND,CASAMIGOS,3044
2020-11-16,CO,LUNAZUL,30448
2020-11-16,DC,CAZADORES,201
2020-11-16,CO,ESPOLON,94419
2020-11-16,NY-U,ESPOLON,69816
2020-11-16,AR,ESPOLON,1304
2020-11-16,DC,LUNAZUL,999
2020-11-16,NE,CASAMIGOS,4210
2020-11-16,FL,CASAMIGOS,378779
2020-11-16,IN,CASAMIGOS,36620
2020-11-16,NY-M,LUNAZUL,25201
2020-11-16,CA-N,DON JULIO,291301
2020-11-16,NV,LUNAZUL,4335
2020-11-16,NM,DON JULIO,10852
2020-11-16,HI,DON JULIO,12114
2020-11-16,DE,ESPOLON,6685
2020-11-16,NY-U,CAZADORES,8347
2020-11-16,AR,CASAMIGOS,23377
2020-11-16,MO,CAZADORES,1108
2020-11-16,NM,CAZADORES,3956
2020-11-16,WA,CAZADORES,15105
2020-11-16,LA,ESPOLON,44767
2020-11-16,CA-N,CASAMIGOS,110400
2020-11-16,IL,ESPOLON,48077
2020-11-16,TX,ESPOLON,105350
2020-11-16,CA-N,CAZADORES,51382
2020-11-16,CA-S,CASAMIGOS,851330
2020-11-16,MO,DON JULIO,42757
2020-11-16,HI,ESPOLON,6735
2020-11-23,MN,DON JULIO,980
2020-11-23,IN,ESPOLON,26604
2020-11-23,CO,LUNAZUL,10849
2020-11-23,FL,LUNAZUL,24624
2020-11-23,KS,ESPOLON,1308
2020-11-23,CO,ESPOLON,60958
2020-11-23,NE,ESPOLON,3068
2020-11-23,LA,DON JULIO,39333
2020-11-23,NY-M,CAZADORES,11909
2020-11-23,CA-N,ESPOLON,25939
2020-11-23,IL,CAZADORES,18678
2020-11-23,LA,CASAMIGOS,19279
2020-11-23,LA,ESPOLON,23086
2020-11-23,KY,CASAMIGOS,5561
2020-11-23,DC,CASAMIGOS,34279
2020-11-23,NY-M,ESPOLON,126649
2020-11-23,MD,LUNAZUL,7360
2020-11-23,NM,CASAMIGOS,11344
2020-11-23,NV,ESPOLON,5534
2020-11-23,NY-U,CASAMIGOS,50080
2020-11-23,CO,CASAMIGOS,66261
2020-11-23,IL,ESPOLON,36111
2020-11-23,NV,DON JULIO,22492
2020-11-23,NY-U,ESPOLON,45498
2020-11-23,MN,CAZADORES,1155
2020-11-23,DE,CAZADORES,1009
2020-11-23,IN,CASAMIGOS,26516
2020-11-23,CA-S,CASAMIGOS,508402
2020-11-23,HI,CASAMIGOS,17846
2020-11-23,AR,CASAMIGOS,7920
2020-11-23,CA-N,CAZADORES,51347
2020-11-23,MD,CASAMIGOS,105816
2020-11-23,NY-U,CAZADORES,1928
2020-11-23,FL,ESPOLON,88153
2020-11-23,IL,LUNAZUL,4824
2020-11-23,TX,CASAMIGOS,252892
2020-11-23,MN,ESPOLON,15418
2020-11-23,NM,ESPOLON,14380
2020-11-23,TX,DON JULIO,132567
2020-11-23,DC,ESPOLON,11705
2020-11-23,HI,ESPOLON,6355
2020-11-23,ND,ESPOLON,656
2020-11-23,MO,CAZADORES,1080
2020-11-23,NE,DON JULIO,17702
2020-11-23,KS,LUNAZUL,5608
2020-11-23,KS,CASAMIGOS,3014
2020-11-23,WA,DON JULIO,103504
2020-11-23,AZ,CAZADORES,10739
2020-11-23,ND,CASAMIGOS,2388
2020-11-23,SD,ESPOLON,1101
2020-11-23,TX,CAZADORES,36811
2020-11-23,WA,CAZADORES,2498
2020-11-23,ND,CAZADORES,199
2020-11-23,NV,CASAMIGOS,53502
2020-11-23,CA-S,DON JULIO,389270
2020-11-23,KY,LUNAZUL,2390
2020-11-23,NE,LUNAZUL,1110
2020-11-23,NY-M,LUNAZUL,16102
2020-11-23,NV,LUNAZUL,572
2020-11-23,MD,ESPOLON,34130
2020-11-23,AZ,CASAMIGOS,57183
2020-11-23,NM,DON JULIO,13098
2020-11-23,KY,DON JULIO,18823
2020-11-23,CA-N,LUNAZUL,13748
2020-11-23,IN,LUNAZUL,5561
2020-11-23,NE,CAZADORES,3555
2020-11-23,MO,ESPOLON,12555
2020-11-23,SC,CAZADORES,2937
2020-11-23,SC,ESPOLON,22717
2020-11-23,MO,CASAMIGOS,14310
2020-11-23,NY-M,CASAMIGOS,892323
2020-11-23,NY-U,LUNAZUL,5145
2020-11-23,DE,LUNAZUL,834
2020-11-23,CA-S,ESPOLON,108864
2020-11-23,WA,LUNAZUL,7567
2020-11-23,WA,CASAMIGOS,9031
2020-11-23,NE,CASAMIGOS,6784
2020-11-23,MD,CAZADORES,430
2020-11-23,HI,CAZADORES,7262
2020-11-23,MN,CASAMIGOS,23638
2020-11-23,CA-S,LUNAZUL,19786
2020-11-23,FL,CASAMIGOS,426615
2020-11-23,DC,CAZADORES,334
2020-11-23,CA-N,DON JULIO,317736
2020-11-23,DC,LUNAZUL,630
2020-11-23,KY,CAZADORES,1954
2020-11-23,IN,DON JULIO,78676
2020-11-23,LA,LUNAZUL,8334
2020-11-23,CA-N,CASAMIGOS,119620
2020-11-23,WA,ESPOLON,21810
2020-11-23,HI,LUNAZUL,756
2020-11-23,AR,ESPOLON,2058
2020-11-23,DE,ESPOLON,2613
2020-11-23,HI,DON JULIO,13608
2020-11-23,CO,CAZADORES,9021
2020-11-23,IN,CAZADORES,9276
2020-11-23,TX,ESPOLON,77337
2020-11-23,MO,LUNAZUL,17259
2020-11-23,DE,CASAMIGOS,13508
2020-11-23,SC,CASAMIGOS,70527
2020-11-23,AZ,ESPOLON,22823
2020-11-23,MN,LUNAZUL,1357
2020-11-23,FL,DON JULIO,364355
2020-11-23,NY-U,DON JULIO,54541
2020-11-23,FL,CAZADORES,23045
2020-11-23,NM,CAZADORES,2916
2020-11-23,MO,DON JULIO,28311
2020-11-23,LA,CAZADORES,1594
2020-11-23,TX,LUNAZUL,35691
2020-11-23,AZ,LUNAZUL,1341
2020-11-23,IL,CASAMIGOS,89258
2020-11-23,CA-S,CAZADORES,41822
2020-11-23,SD,CASAMIGOS,609
2020-11-23,KY,ESPOLON,9164
2020-11-23,NY-M,DON JULIO,143237
2020-11-30,HI,CASAMIGOS,4213
2020-11-30,DE,CASAMIGOS,320
2020-11-30,MO,DON JULIO,9710
2020-11-30,CO,CAZADORES,5710
2020-11-30,CA-N,LUNAZUL,3922
2020-11-30,SD,ESPOLON,59
2020-11-30,WA,DON JULIO,87
2020-11-30,NY-U,ESPOLON,3290
2020-11-30,LA,CAZADORES,643
2020-11-30,WA,LUNAZUL,-136
2020-11-30,DE,ESPOLON,1803
2020-11-30,SC,CASAMIGOS,20011
2020-11-30,MD,CASAMIGOS,61918
2020-11-30,NV,LUNAZUL,223
2020-11-30,HI,ESPOLON,2415
2020-11-30,NY-M,CAZADORES,1380
2020-11-30,HI,DON JULIO,3502
2020-11-30,CA-N,DON JULIO,347107
2020-11-30,AR,ESPOLON,409
2020-11-30,KS,CASAMIGOS,0
2020-11-30,TX,ESPOLON,110343
2020-11-30,NM,ESPOLON,5401
2020-11-30,MN,CAZADORES,3951
2020-11-30,CO,ESPOLON,12615
2020-11-30,FL,CAZADORES,3888
2020-11-30,KY,DON JULIO,0
2020-11-30,MN,LUNAZUL,268
2020-11-30,AR,CASAMIGOS,606
2020-11-30,AZ,CAZADORES,6396
2020-11-30,MO,LUNAZUL,3330
2020-11-30,TX,LUNAZUL,23961
2020-11-30,MN,CASAMIGOS,6387
2020-11-30,HI,CAZADORES,4987
2020-11-30,CO,CASAMIGOS,4559
2020-11-30,NM,DON JULIO,4553
2020-11-30,TX,CASAMIGOS,230495
2020-11-30,NE,ESPOLON,495
2020-11-30,NY-U,DON JULIO,563
2020-11-30,NY-M,CASAMIGOS,79037
2020-11-30,TX,DON JULIO,470497
2020-11-30,KS,LUNAZUL,0
2020-11-30,NY-M,ESPOLON,11216
2020-11-30,CA-S,LUNAZUL,12443
2020-11-30,NY-U,CASAMIGOS,16825
2020-11-30,FL,DON JULIO,101056
2020-11-30,KY,CASAMIGOS,0
2020-11-30,MD,ESPOLON,23377
2020-11-30,MO,CASAMIGOS,6092
2020-11-30,IL,CASAMIGOS,48
2020-11-30,FL,ESPOLON,14482
2020-11-30,CA-S,DON JULIO,440288
2020-11-30,ND,ESPOLON,1224
2020-11-30,MD,CAZADORES,100
2020-11-30,MO,ESPOLON,3055
2020-11-30,LA,CASAMIGOS,10531
2020-11-30,NE,CAZADORES,613
2020-11-30,MN,DON JULIO,392
2020-11-30,NV,ESPOLON,34
2020-11-30,KY,ESPOLON,547
2020-11-30,SC,CAZADORES,567
2020-11-30,AZ,LUNAZUL,2030
2020-11-30,IN,LUNAZUL,180
2020-11-30,NY-M,DON JULIO,23343
2020-11-30,NY-M,LUNAZUL,51
2020-11-30,CA-S,CAZADORES,16443
2020-11-30,IN,ESPOLON,-144
2020-11-30,CA-S,CASAMIGOS,122188
2020-11-30,NV,DON JULIO,965
2020-11-30,CA-S,ESPOLON,86458
2020-11-30,AZ,CASAMIGOS,16017
2020-11-30,LA,DON JULIO,19353
2020-11-30,CA-N,CAZADORES,38872
2020-11-30,NY-U,LUNAZUL,809
2020-11-30,FL,CASAMIGOS,32593
2020-11-30,IN,DON JULIO,45
2020-11-30,CO,LUNAZUL,1057
2020-11-30,MN,ESPOLON,3201
2020-11-30,LA,LUNAZUL,3810
2020-11-30,CA-N,ESPOLON,41409
2020-11-30,NE,CASAMIGOS,1496
2020-11-30,MD,LUNAZUL,6481
2020-11-30,LA,ESPOLON,8589
2020-11-30,WA,CASAMIGOS,0
2020-11-30,DC,CASAMIGOS,1414
2020-11-30,NV,CASAMIGOS,4284
2020-11-30,CA-N,CASAMIGOS,50942
2020-11-30,NE,LUNAZUL,417
2020-11-30,IN,CAZADORES,585
2020-11-30,ND,LUNAZUL,170
2020-11-30,NM,CAZADORES,748
2020-11-30,WA,ESPOLON,-68
2020-11-30,MO,CAZADORES,448
2020-11-30,KS,ESPOLON,0
2020-11-30,SC,ESPOLON,52747
2020-11-30,HI,LUNAZUL,284
2020-11-30,NE,DON JULIO,3875
2020-11-30,AZ,ESPOLON,4356
2020-11-30,NM,CASAMIGOS,3668
2020-11-30,IN,CASAMIGOS,338
2020-11-30,FL,LUNAZUL,7935
2020-11-30,TX,CAZADORES,18697
