week,state,brandcorp,revenue
2020-10-05,WA,CAZADORES,5134
2020-10-05,TX,CAZADORES,41578
2020-10-05,SD,CAZADORES,660
2020-10-05,KY,CAZADORES,4739
2020-10-05,AR,ESPOLON,7379
2020-10-05,LA,DON JULIO,52729
2020-10-05,NY-U,CAZADORES,4112
2020-10-05,IN,DON JULIO,124963
2020-10-05,FL,DON JULIO,333520
2020-10-05,KY,ESPOLON,7361
2020-10-05,HI,LUNAZUL,491
2020-10-05,MN,ESPOLON,14116
2020-10-05,NY-U,LUNAZUL,13745
2020-10-05,DC,CAZADORES,201
2020-10-05,NE,DON JULIO,15550
2020-10-05,WA,ESPOLON,89053
2020-10-05,TX,DON JULIO,134525
2020-10-05,NY-M,LUNAZUL,28465
2020-10-05,CA-N,LUNAZUL,14616
2020-10-05,MN,LUNAZUL,1718
2020-10-05,MD,ESPOLON,36694
2020-10-05,NY-M,CASAMIGOS,559254
2020-10-05,TX,LUNAZUL,132792
2020-10-05,SD,CASAMIGOS,1597
2020-10-05,MN,CASAMIGOS,28407
2020-10-05,MO,DON JULIO,129637
2020-10-05,NY-M,DON JULIO,192860
2020-10-05,KY,CASAMIGOS,12806
2020-10-05,NY-U,ESPOLON,104739
2020-10-05,SD,ESPOLON,898
2020-10-05,TX,ESPOLON,104906
2020-10-05,NE,LUNAZUL,1587
2020-10-05,CA-S,CASAMIGOS,1037502
2020-10-05,HI,ESPOLON,7487
2020-10-05,MO,LUNAZUL,14605
2020-10-05,DE,CAZADORES,6929
2020-10-05,ND,CASAMIGOS,2361
2020-10-05,NV,LUNAZUL,4795
2020-10-05,AZ,CASAMIGOS,68361
2020-10-05,CA-S,ESPOLON,522362
2020-10-05,IN,CASAMIGOS,17077
2020-10-05,SC,CAZADORES,476
2020-10-05,KY,LUNAZUL,2650
2020-10-05,MD,LUNAZUL,12852
2020-10-05,AZ,LUNAZUL,6090
2020-10-05,WA,DON JULIO,42970
2020-10-05,LA,CAZADORES,2151
2020-10-05,KS,LUNAZUL,4773
2020-10-05,CA-N,CAZADORES,55110
2020-10-05,CA-N,ESPOLON,52275
2020-10-05,NV,CASAMIGOS,89255
2020-10-05,DE,LUNAZUL,1894
2020-10-05,KS,ESPOLON,9576
2020-10-05,IN,LUNAZUL,9835
2020-10-05,FL,CASAMIGOS,362218
2020-10-05,DC,ESPOLON,6980
2020-10-05,CO,ESPOLON,95704
2020-10-05,NY-M,ESPOLON,207896
2020-10-05,MN,DON JULIO,2959
2020-10-05,FL,ESPOLON,382560
2020-10-05,NM,CASAMIGOS,9476
2020-10-05,DC,CASAMIGOS,37798
2020-10-05,LA,ESPOLON,29600
2020-10-05,SC,CASAMIGOS,52178
2020-10-05,SD,LUNAZUL,234
2020-10-05,IL,CASAMIGOS,168478
2020-10-05,WA,LUNAZUL,24248
2020-10-05,LA,LUNAZUL,10778
2020-10-05,CO,CASAMIGOS,114567
2020-10-05,AZ,ESPOLON,19182
2020-10-05,CA-N,CASAMIGOS,132338
2020-10-05,NV,DON JULIO,109393
2020-10-05,NY-M,CAZADORES,25626
2020-10-05,NM,ESPOLON,22882
2020-10-05,CA-S,DON JULIO,1574612
2020-10-05,MO,CASAMIGOS,17753
2020-10-05,DE,CASAMIGOS,83785
2020-10-05,IN,CAZADORES,2858
2020-10-05,AR,CASAMIGOS,18598
2020-10-05,CO,LUNAZUL,24768
2020-10-05,FL,LUNAZUL,36880
2020-10-05,AZ,CAZADORES,34055
2020-10-05,MN,CAZADORES,1457
2020-10-05,HI,CASAMIGOS,7399
2020-10-05,LA,CASAMIGOS,22728
2020-10-05,KY,DON JULIO,37058
2020-10-05,MD,CASAMIGOS,92082
2020-10-05,WA,CASAMIGOS,10357
2020-10-05,KS,CASAMIGOS,7600
2020-10-05,NM,DON JULIO,17155
2020-10-05,FL,CAZADORES,38929
