MANDT,MATNR,SPRAS,MAKTX,MAKTG
1,00-10049-01-CI,EN,00-10049-01-CI\H160 BASELINE AIRCRAFT (1,00-10049-01-CI\H160 BASELINE AIRCRAFT (1
1,00-10049-02-CI,EN,00-10049-02-CI\H160 COMMON CONFIGURATION,00-10049-02-CI\H160 COMMON CONFIGURATION
1,00-10JCG-04-CI,EN,00-10JCG-04-CI\BASELINE JCG12&13,00-10JCG-04-CI\BASELINE JCG12&13
1,00-10POL-00-CI,EN,00-10POL-00-CI\EC725 BASELINE AIRCRAFT W,00-10POL-00-CI\EC725 BASELINE AIRCRAFT W
1,00-50013-01-CI,EN,00-50013-01-CI\ EC225 OFFSHORE PACKAGE,00-50013-01-CI\ EC225 OFFSHORE PACKAGE
1,00-50014-01-CI,EN,00-50014-01-CI\EC155 B1 STANDARD LEAD TI,00-50014-01-CI\EC155 B1 STANDARD LEAD TI
1,00-50014-02-CI,EN,00-50014-02-CI\EC155 B1 STANDARD LEAD TI,00-50014-02-CI\EC155 B1 STANDARD LEAD TI
1,00-50016-01-CI,EN,00-50016-01-CI\EC155 B1 MINIMUM EQUIPMEN,00-50016-01-CI\EC155 B1 MINIMUM EQUIPMEN
1,00-50021-02-CI,EN,00-50021-02-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-02-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50021-03-CI,EN,00-50021-03-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-03-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50021-04-CI,EN,00-50021-04-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-04-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50021-05-CI,EN,00-50021-05-CI\AS 365 N3+ MINIMUM EQUIPM,00-50021-05-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50027-00-CI,EN,00-50027-00-CI\OIL et GAS PACKAGE,00-50027-00-CI\OIL ET GAS PACKAGE
1,00-50027-05-CI,EN,"00-50027-05-CI\""OIL AND GAS"" PACKAGE","00-50027-05-CI\""OIL AND GAS"" PACKAGE"
1,00-50027-06-CI,EN,00-50027-06-CI\OIL & GAS PACKAGE,00-50027-06-CI\OIL & GAS PACKAGE
1,00-50027-07-CI,EN,00-50027-07-CI\OIL AND GAS PACKAGE,00-50027-07-CI\OIL AND GAS PACKAGE
1,00-50027-08-CI,EN,00-50027-08-CI\OIL AND GAS PACKAGE,00-50027-08-CI\OIL AND GAS PACKAGE
1,00-50028-00-CI,EN,00-50028-00-CI\AS550 C3 INDIAN FENNEC MI,00-50028-00-CI\AS550 C3 INDIAN FENNEC MI
1,00-50029-00-CI,EN,00-50029-00-CI\AS 365 N3+ MINIMUM EQUIPM,00-50029-00-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50029-01-CI,EN,00-50029-01-CI\AS 365 N3+ MINIMUM EQUIPM,00-50029-01-CI\AS 365 N3+ MINIMUM EQUIPM
1,00-50030-04-CI,EN,00-50030-04-CI\SAR PACKAGE,00-50030-04-CI\SAR PACKAGE
1,00-50033-01-CI,EN,00-50033-01-CI\PREMIUM PACKAGE,00-50033-01-CI\PREMIUM PACKAGE
1,00-50035-01-CI,EN,"00-50035-01-CI\""""EC225 SAR"" PACKAGE""","00-50035-01-CI\""""EC225 SAR"" PACKAGE"""
1,00-50036-01-CI,EN,"00-50036-01-CI\""""EC225 VIP"" PACKAGE""","00-50036-01-CI\""""EC225 VIP"" PACKAGE"""
1,00-50038-01-CI,EN,"00-50038-01-CI\""""BUSINESS & PRIVATE AVI","00-50038-01-CI\""""BUSINESS & PRIVATE AVI"
1,00-50038-03-CI,EN,00-50038-03-CI\VIP PACKAGE,00-50038-03-CI\VIP PACKAGE
1,00-50038-04-CI,EN,00-50038-04-CI\VIP PACKAGE,00-50038-04-CI\VIP PACKAGE
1,00-50039-00-CI,EN,"00-50039-00-CI\""""AS332 L1E PASSENGER TR","00-50039-00-CI\""""AS332 L1E PASSENGER TR"
1,00-50040-00-CI,EN,"00-50040-00-CI\""""AS332 C1E MISSION"" PA","00-50040-00-CI\""""AS332 C1E MISSION"" PA"
1,00-50041-00-CI,EN,"00-50041-00-CI\""""PUBLIC SERVICES"" PACK","00-50041-00-CI\""""PUBLIC SERVICES"" PACK"
1,00-50042-00-CI,EN,"00-50042-00-CI\""""EC225E OFFSHORE"" PACK","00-50042-00-CI\""""EC225E OFFSHORE"" PACK"
1,00-50043-00-CI,EN,"00-50043-00-CI\""""AS332 L1E SAR"" PACKAG","00-50043-00-CI\""""AS332 L1E SAR"" PACKAG"
1,00-50044-01-CI,EN,00-50044-01-CI\EXECUTIVE PACKAGE,00-50044-01-CI\EXECUTIVE PACKAGE
1,00-50045-00-CI,EN,"00-50045-00-CI\""""EC225E SAR"" PACKAGE (","00-50045-00-CI\""""EC225E SAR"" PACKAGE ("
1,00-50050-00-CI,EN,00-50050-00-CI\AS332 L1E TTH PACKAGE,00-50050-00-CI\AS332 L1E TTH PACKAGE
1,00-50051-00-CI,EN,"00-50051-00-CI\""H215 AERIAL WORK"" PACKAG","00-50051-00-CI\""H215 AERIAL WORK"" PACKAG"
1,00-50RPT-07-CI,EN,00-50RPT-07-CI\RTP MISSION PACKAGE,00-50RPT-07-CI\RTP MISSION PACKAGE
1,00-50RTP-07-CI,EN,00-50RTP-07-CI\RTP MISSION PACKAGE,00-50RTP-07-CI\RTP MISSION PACKAGE
1,00-90001-01-CI,EN,00-90001-01-CI\STANDARD PASSENGER TRANSP,00-90001-01-CI\STANDARD PASSENGER TRANSP
1,00-90002-02-CI,EN,00-90002-02-CI\STANDARD VIP TRANSPORT CO,00-90002-02-CI\STANDARD VIP TRANSPORT CO
1,00-90003-02-CI,EN,00-90003-02-CI\STANDARD CORPORATE TRANSP,00-90003-02-CI\STANDARD CORPORATE TRANSP
1,00-90004-01-CI,EN,00-90004-01-CI\STANDARD PUBLIC SERVICES,00-90004-01-CI\STANDARD PUBLIC SERVICES
1,00-90005-02-CI,EN,00-90005-02-CI\STANDARD SAR CONFIGURATIO,00-90005-02-CI\STANDARD SAR CONFIGURATIO
1,00-90006-02-CI,EN,00-90006-02-CI\STANDARD PASSENGER TRANSP,00-90006-02-CI\STANDARD PASSENGER TRANSP
1,00-90007-02-CI,EN,00-90007-02-CI\STANDARD VIP TRANSPORT CO,00-90007-02-CI\STANDARD VIP TRANSPORT CO
1,00-90007-03-CI,EN,00-90007-03-CI\STANDARD VIP TRANSPORT CO,00-90007-03-CI\STANDARD VIP TRANSPORT CO
1,00-90007-04-CI,EN,00-90007-04-CI\STANDARD VIP TRANSPORT CO,00-90007-04-CI\STANDARD VIP TRANSPORT CO
1,00-90008-02-CI,EN,00-90008-02-CI\STANDARD CORPORATE TRANSP,00-90008-02-CI\STANDARD CORPORATE TRANSP
1,00-90008-04-CI,EN,00-90008-04-CI\STANDARD EXECUTIVE TRANSP,00-90008-04-CI\STANDARD EXECUTIVE TRANSP
1,00-90009-02-CI,EN,00-90009-02-CI\STANDARD PUBLIC SERVICES,00-90009-02-CI\STANDARD PUBLIC SERVICES
1,00-90009-04-CI,EN,00-90009-04-CI\STANDARD PUBLIC SERVICES,00-90009-04-CI\STANDARD PUBLIC SERVICES
1,00-90009-05-CI,EN,00-90009-05-CI\STANDARD PUBLIC SERVICES,00-90009-05-CI\STANDARD PUBLIC SERVICES
1,00-90010-00-CI,EN,00-90010-00-CI\STANDARD PASSENGER TRANSP,00-90010-00-CI\STANDARD PASSENGER TRANSP
1,00-90011-00-CI,EN,00-90011-00-CI\STANDARD VIP TRANSPORT CO,00-90011-00-CI\STANDARD VIP TRANSPORT CO
1,00-90012-00-CI,EN,00-90012-00-CI\STANDARD CORPORATE TRANSP,00-90012-00-CI\STANDARD CORPORATE TRANSP
1,00-90013-00-CI,EN,00-90013-00-CI\STANDARD PUBLIC SERVICES,00-90013-00-CI\STANDARD PUBLIC SERVICES
1,00-90014-00-CI,EN,00-90014-00-CI\STANDARD SAR CONFIGURATIO,00-90014-00-CI\STANDARD SAR CONFIGURATIO
1,00-90015-00-CI,EN,00-90015-00-CI\CONF TRANSPORT PASSAGER O,00-90015-00-CI\CONF TRANSPORT PASSAGER O
1,00-90015-01-CI,EN,00-90015-01-CI\STANDARD UTILITY AND TRAN,00-90015-01-CI\STANDARD UTILITY AND TRAN
1,00-90018-00-CI,EN,00-90018-00-CI\O&G OFFSHORE  FAVORITE CO,00-90018-00-CI\O&G OFFSHORE  FAVORITE CO
1,00-90018-01-CI,EN,00-90018-01-CI\OFFSHORE TRANSPORT FAVORI,00-90018-01-CI\OFFSHORE TRANSPORT FAVORI
1,00-90019-00-CI,EN,00-90019-00-CI\COMMERCIAL AIR TRANSPORT,00-90019-00-CI\COMMERCIAL AIR TRANSPORT
