	MANDT	AUFNR				POSNR		PSOBS	QUNUM	QUPOS	PROJN				PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS
	001	10500513979				0001		E		000					758376026	01/25/2017	01/18/2017		000000	0000		           0.000	           2.000	           2.000	            0.000	PC	PC
	001	10500514000				0001		E		000					758376054	01/25/2017	01/18/2017		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	10500572427				0001		E		000	UP.309803.1.2.0.0				901282681	04/13/2018	04/06/2018		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	11990028949				0001		E		000	FP.550931.R					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000
	001	20001119887				0001		E		000						06/24/2014	00/00/0000		000000	0000		           0.000	          10.000	           0.000	            0.000	PC	PC
	001	20001119971				0001		E		000						06/24/2014	00/00/0000		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	20001123793				0001		E		000	FP.590301.R.BA.AL					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001125711				0001		E		000	FQ.DVA014.2.RE.CH.A					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001125716				0001		E		000	FQ.DVA014.7.ST.NU.L					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001125823				0001		E		000					467862214	06/26/2014	06/19/2014		000000	0000		           0.000	           1.000	           1.000	            0.000	PC	PC
	001	20001125922				0001		E		000	FP.590275.R.CU.ST.A					07/11/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001125938				0001		E		000						07/09/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            1.000	PC	PC
	001	20001130315				0001		E		000	FP.590227.R.CU.ST.A					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001130508				0001		E		000						07/23/2014	00/00/0000		000000	0000		           0.000	           7.000	           6.000	            1.000	PC	PC
	001	20001130516				0001		E		000	EP.666014.F.4.IM					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001130839				0001		E		000						00/00/0000	00/00/0000		000000	0000		           0.000	           5.000	           0.000	            0.000	PC	PC
	001	20001130841				0001		E		000						00/00/0000	00/00/0000		000000	0000		           0.000	           5.000	           5.000	            0.000	PC	PC
	001	20001130845				0001		E		000	FP.590225.R.BA.BL					07/23/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001130896				0001		E		000	EE.NC1007.I.ZE.88B300.F					07/23/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001130903				0001		E		000						07/23/2014	00/00/0000		000000	0000		           0.000	          15.000	           0.000	            0.000	PC	PC
	001	20001130904				0001		E		000	EE.NC1007.I.ZE.88B300.F					07/23/2014	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001130920				0001		E		000	FP.550822.R.BA.AL					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001130922				0001		E		000						07/25/2014	00/00/0000		000000	0000		           0.000	           6.000	           6.000	            0.000	PC	PC
	001	20001130927				0001		E		000						07/25/2014	00/00/0000		000000	0000		           0.000	           6.000	           6.000	            0.000	PC	PC
	001	20001364737				0001		E		000					617337461	04/11/2017	04/04/2017		000000	0000		           0.000	           2.000	           2.000	            0.000	PC	PC
	001	20001364745				0001		E		000					714779682	03/27/2017	03/20/2017		000000	0000		           0.000	           2.000	           2.000	            0.000	PC	PC
	001	20001366662				0001		E		000	FP.550888.R.BA.ST.A					09/09/2016	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001488716				0001		E		000	FP.514808.R.BV.CP					00/00/0000	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001488726				0001		E		000					883888619	02/05/2018	01/29/2018		000000	0000		           0.000	           2.000	           2.000	            0.000	PC	PC
	001	20001488734				0001		E		000	FP.580769.R.CU.ST.A					00/00/0000	00/00/0000		000000	0000		           0.000	           2.000	           0.000	            0.000	PC	PC
	001	20001488736				0001		E		000	FP.580769.R.CU.ST.A					00/00/0000	00/00/0000		000000	0000		           0.000	           2.000	           0.000	            0.000	PC	PC
	001	20001707441				0001		E		000	EP.580738.F.R.BA.S3					01/29/2020	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
	001	20001707442				0001		E		000	EP.580738.F.R.BA.S3					01/29/2020	00/00/0000		000000	0000		           0.000	           1.000	           0.000	            0.000	PC	PC
